,r,roll_avg_r,roll_std_r,upper_r,lower_r
317,10,10.52,1.798411997926548,14.044887515936033,6.995112484063966
318,12,10.5,1.7756861278081328,13.98034481050394,7.01965518949606
319,15,10.52,1.8209663279004866,14.089094002684954,6.950905997315045
320,9,10.42,1.7623036871421254,13.874115226798565,6.965884773201434
321,9,10.38,1.7715437750558747,13.852225799109515,6.907774200890486
322,9,10.36,1.7815379734995413,13.8518144280591,6.868185571940899
323,10,10.34,1.7798188396691559,13.828444925751546,6.851555074248454
324,12,10.36,1.7929567416843788,13.874195213701382,6.845804786298617
325,16,10.5,1.9509286119640654,14.323820079449568,6.676179920550432
326,11,10.52,1.9508240017271494,14.343615043385213,6.696384956614787
327,8,10.4,1.9166296949999353,14.156594202199873,6.643405797800128
328,9,10.38,1.9260830507451618,14.155122779460518,6.604877220539484
329,10,10.4,1.9166296949999353,14.156594202199873,6.643405797800128
330,9,10.32,1.8891743148362932,14.022781657079134,6.617218342920866
331,11,10.36,1.8818141485801305,14.048355731217056,6.671644268782943
332,11,10.36,1.8818141485801305,14.048355731217056,6.671644268782943
333,12,10.38,1.8940292866732429,14.092297401879556,6.667702598120445
334,9,10.34,1.9017714620526815,14.067472065623257,6.612527934376744
335,14,10.4,1.9691498217272871,14.259533650585483,6.540466349414517
336,11,10.44,1.9604247769610779,14.282432562843713,6.597567437156287
337,9,10.4,1.9691498217272871,14.259533650585483,6.540466349414517
338,11,10.4,1.9691498217272871,14.259533650585483,6.540466349414517
339,12,10.44,1.9811355226697938,14.323025624432795,6.556974375567204
340,10,10.4,1.9691498217272871,14.259533650585483,6.540466349414517
341,10,10.42,1.959695936431402,14.261004035405549,6.578995964594452
342,11,10.4,1.948311670998093,14.218690875156263,6.581309124843738
343,16,10.54,2.0918695866012733,14.640064389738495,6.439935610261504
344,10,10.56,2.0816006400100475,14.639937254419694,6.480062745580307
345,11,10.62,2.049290569132434,14.63660951549957,6.603390484500428
346,9,10.5,1.9613614596781104,14.344268460969097,6.655731539030904
347,11,10.52,1.9612574059121717,14.364064515587856,6.675935484412143
348,10,10.52,1.9612574059121717,14.364064515587856,6.675935484412143
349,9,10.5,1.9717391059775782,14.364608647716054,6.635391352283946
350,10,10.52,1.9612574059121717,14.364064515587856,6.675935484412143
351,12,10.56,1.9708073555407448,14.42278241685986,6.697217583140141
352,20,10.72,2.373665038350221,15.372383475166433,6.067616524833567
353,11,10.76,2.360906086870219,15.387375930265629,6.132624069734371
354,12,10.84,2.333080647153649,15.412838068421152,6.267161931578848
355,10,10.88,2.3003105380424214,15.388608654563146,6.371391345436855
356,8,10.86,2.321241750724505,15.40963383142003,6.31036616857997
357,9,10.86,2.321241750724505,15.40963383142003,6.31036616857997
358,11,10.8,2.276768207215701,15.262465686142775,6.337534313857226
359,11,10.82,2.2739877766082444,15.277016042152159,6.362983957847842
360,15,10.94,2.3335179713148597,15.513695223777123,6.366304776222875
361,10,10.92,2.3372755812821007,15.501060139312917,6.338939860687082
362,9,10.92,2.3372755812821007,15.501060139312917,6.338939860687082
363,9,10.92,2.3372755812821007,15.501060139312917,6.338939860687082
364,9,10.9,2.349554886199883,15.505127576951772,6.294872423048229
365,13,10.88,2.3267740653146465,15.440477168016708,6.319522831983294
366,16,11.02,2.4200691506397063,15.763335535253823,6.276664464746175
367,12,11.06,2.4193944258337745,15.802013074634198,6.317986925365803
368,12,11.06,2.4193944258337745,15.802013074634198,6.317986925365803
369,10,10.96,2.355713852551383,15.577199151000713,6.34280084899929
370,11,11.0,2.3386722205350794,15.583797552248756,6.416202447751244
371,11,11.04,2.3208021132746386,15.588772142018291,6.491227857981707
372,13,11.12,2.3179864590825874,15.66325345980187,6.576746540198128
373,10,11.12,2.3179864590825874,15.66325345980187,6.576746540198128
374,8,11.04,2.3557138525513825,15.65719915100071,6.422800848999289
375,10,10.92,2.2482646369036403,15.326598688331135,6.513401311668865
376,10,10.9,2.251983252919304,15.313887175721835,6.486112824278165
377,11,10.96,2.2127644543901828,15.29701833060476,6.622981669395243
378,12,11.02,2.199164962119186,15.330363325753606,6.709636674246394
379,10,11.02,2.199164962119186,15.330363325753606,6.709636674246394
380,10,11.04,2.1849204907778326,15.322444161924551,6.757555838075447
381,11,11.04,2.1849204907778326,15.322444161924551,6.757555838075447
382,10,11.02,2.189865339257661,15.312136064945015,6.727863935054985
383,11,11.0,2.1852940772541505,15.283176391418134,6.716823608581866
384,11,11.04,2.1661590195457996,15.285671678309766,6.794328321690232
385,10,10.96,2.1281399370899394,15.131154276696282,6.788845723303719
386,9,10.92,2.14609279522455,15.126341878640119,6.713658121359882
387,8,10.9,2.168889492955669,15.151023406193111,6.648976593806889
388,11,10.9,2.168889492955669,15.151023406193111,6.648976593806889
389,9,10.84,2.179309008631516,15.11144565691777,6.568554343082229
390,8,10.8,2.2131333406900517,15.137741347752502,6.462258652247499
