,e,r,roll_avg_r,roll_std_r,upper_r,lower_r
137,137,173.0,80.78,53.11876950259096,184.89278822507828,-23.332788225078275
138,138,132.0,81.64,53.60047212707084,186.69692536905885,-23.416925369058845
139,139,259.0,86.1,58.75519950938602,201.26019103839658,-29.060191038396596
140,140,222.0,90.32,60.79320585025123,209.47468346649242,-28.83468346649242
141,141,182.0,93.32,61.552844394562506,213.9635750133425,-27.32357501334252
142,142,190.0,96.7,62.1378487308497,218.49018351246542,-25.0901835124654
143,143,113.0,98.56,61.17961511911013,218.47204563345588,-21.35204563345586
144,144,200.0,102.14,61.78270347742637,223.23409881575566,-18.95409881575567
145,145,126.0,104.34,60.59992927860088,223.11586138605773,-14.435861386057724
146,146,130.0,105.44,60.555644843804444,224.1290638938567,-13.249063893856714
147,147,212.0,108.82,61.70492323162235,229.7616495339798,-12.12164953397982
148,148,125.0,110.98,60.299419566028995,229.16686234941682,-7.206862349416824
149,149,131.0,111.62,60.339478395667506,229.8853776555083,-6.645377655508298
150,150,107.0,112.16,60.1713064711826,230.09576068351788,-5.775760683517888
151,151,141.0,113.3,60.1668598184097,231.227045244083,-4.627045244083007
152,152,169.0,114.08,60.63872272630379,232.9318965435554,-4.771896543555428
153,153,173.0,117.06,59.776594286474676,234.22212480149037,-0.10212480149036196
154,154,196.0,119.84,60.15739898849704,237.7485020174542,1.9314979825458067
155,155,112.0,120.04,60.113484513943824,237.86242964732992,2.2175703526701085
156,156,130.0,122.02,58.73548105441785,237.141542866659,6.898457133341012
157,157,110.0,122.66,58.41952776674763,237.16227442282536,8.157725577174645
158,158,162.0,125.24,57.21515426485384,237.38170235911352,13.098297640886472
159,159,84.0,125.9,56.527490151758414,236.6938806974465,15.106119302553523
160,160,173.0,128.58,55.49042572317117,237.3412344174155,19.81876558258452
161,161,63.0,128.42,55.671078484180974,237.53531382899467,19.304686171005287
162,162,154.0,129.14,55.76627976818675,238.44190834564603,19.83809165435396
163,163,167.0,131.68,54.50124132643632,238.5024329998152,24.857567000184815
164,164,180.0,132.5,54.92044338896781,240.1440690423769,24.855930957623087
165,165,151.0,134.12,54.22953484015509,240.40988828670396,27.830111713296034
166,166,118.0,135.82,52.292618591763755,238.31353243985694,33.32646756014303
167,167,82.0,136.9,50.54892558255837,235.97589414181442,37.824105858185604
168,168,126.0,136.6,50.568603633770536,235.71446312219024,37.48553687780975
169,169,299.0,141.9,53.40345093183187,246.57076382639048,37.229236173609536
170,170,129.0,143.72,51.29945697289874,244.26693566688152,43.173064333118475
171,171,156.0,145.18,50.5696892356257,244.2965909018264,46.063409098173636
172,172,267.0,148.04,53.31652115968775,252.54038147298797,43.539618527011996
173,173,242.0,151.42,53.81680565983618,256.9009390932789,45.93906090672108
174,174,225.0,154.96,52.684645170435545,258.2219045340537,51.69809546594634
175,175,170.0,156.48,51.981645112206984,258.36402441992567,54.59597558007431
176,176,134.0,155.9,52.06912595339991,257.9554868686638,53.844513131336186
177,177,142.0,156.0,52.03687860252459,257.9922820609482,54.007717939051815
178,178,212.0,157.88,52.333171281000496,260.45301571076095,55.306984289239026
179,179,165.0,159.28,51.54710150405542,260.3123189479486,58.24768105205138
180,180,167.0,161.9,48.38546332551228,256.7355081180041,67.06449188199593
181,181,140.0,161.8,48.42625363185068,256.71545711842737,66.88454288157268
182,182,141.0,161.08,48.46325770043508,256.0679850928528,66.09201490714726
183,183,199.0,162.24,48.66652874829032,257.626396346649,66.85360365335099
184,184,45.0,158.52,50.38190475290327,257.26853331569043,59.7714666843096
185,185,223.0,160.2,51.11292020854319,260.38132360874465,60.01867639125534
186,186,170.0,160.38,51.13163883346517,260.5980121135917,60.16198788640827
187,187,132.0,159.56,51.253734557810056,260.0173197333077,59.10268026669229
188,188,220.0,161.32,51.79608369089588,262.8403240341559,59.799675965844074
189,189,126.0,158.66,50.063473996232354,256.78440903261543,60.53559096738458
190,190,126.0,156.74,49.42147347880606,253.60608801845987,59.87391198154015
191,191,140.0,155.9,49.34023899084269,252.60686842205166,59.193131577948336
192,192,138.0,154.86,49.154487826335775,251.20279613961813,58.5172038603819
193,193,124.0,155.08,48.98764525627973,251.09578470230826,59.064215297691746
194,194,148.0,154.04,48.564688607998306,249.22678967167667,58.853210328323314
195,195,123.0,153.98,48.60187701086858,249.2396789413024,58.72032105869758
196,196,149.0,154.36,48.48469567075488,249.39000351467956,59.32999648532045
197,197,116.0,152.44,48.05445890245948,246.62673944882056,58.25326055117942
198,198,114.0,152.22,48.2075826028247,246.7068619015364,57.733138098463584
199,199,116.0,151.92,48.38866455217441,246.76178252226183,57.07821747773815
200,200,118.0,152.14,48.204923958840084,246.62165095932653,57.65834904067343
201,201,273.0,154.78,51.109442396105436,254.95450709636665,54.60549290363335
